timeframe,feature_set,fold,feature,importance_gain,importance_split
M5,volume_assisted,fold_1,rolling_vol_10,340.14720916748047,25.0
M5,volume_assisted,fold_1,close_sma_20_ratio,462.72579765319824,20.0
M5,volume_assisted,fold_1,close_ema_20_ratio,582.9822807312012,26.0
M5,volume_assisted,fold_1,rolling_vol_20,165.34950065612793,11.0
M5,volume_assisted,fold_1,close_sma_50_ratio,299.76610946655273,21.0
M5,volume_assisted,fold_1,close_ema_50_ratio,207.90969944000244,15.0
M5,volume_assisted,fold_1,rolling_vol_50,370.84710121154785,27.0
M5,volume_assisted,fold_1,close_sma_100_ratio,158.15739917755127,12.0
M5,volume_assisted,fold_1,close_ema_100_ratio,153.46761798858643,12.0
M5,volume_assisted,fold_1,rolling_vol_100,228.4734010696411,17.0
M5,volume_assisted,fold_1,close_sma_200_ratio,253.58359909057617,19.0
M5,volume_assisted,fold_1,close_ema_200_ratio,394.99609088897705,29.0
M5,volume_assisted,fold_1,rolling_vol_200,378.9772996902466,29.0
M5,volume_assisted,fold_1,roc_5,517.549355506897,37.0
M5,volume_assisted,fold_1,roc_10,301.16854190826416,21.0
M5,volume_assisted,fold_1,roc_20,309.0614995956421,23.0
M5,volume_assisted,fold_1,rsi_14,697.7978038787842,43.0
M5,volume_assisted,fold_1,true_range_pct,156.01509952545166,11.0
M5,volume_assisted,fold_1,atr_pct_14,167.99829959869385,10.0
M5,volume_assisted,fold_1,bb_width_pct_20,884.2155027389526,55.0
M5,volume_assisted,fold_1,bb_position_20,681.0986042022705,27.0
M5,volume_assisted,fold_1,volume_z20,267.8985900878906,20.0
M5,volume_assisted,fold_2,minute_of_day_sin,411.0071039199829,23.0
M5,volume_assisted,fold_2,minute_of_day_cos,439.1178979873657,24.0
M5,volume_assisted,fold_2,day_of_week_sin,39.724599838256836,3.0
M5,volume_assisted,fold_2,day_of_week_cos,11.919599533081055,1.0
M5,volume_assisted,fold_2,month_sin,47.435099601745605,3.0
M5,volume_assisted,fold_2,month_cos,69.3592004776001,5.0
M5,volume_assisted,fold_2,is_after_gap,0.0,0.0
M5,volume_assisted,fold_2,gap_minutes_from_prev_bar,0.0,0.0
M5,volume_assisted,fold_2,open_rel_prev_close,77.27820014953613,5.0
M5,volume_assisted,fold_2,high_rel_prev_close,121.12909984588623,8.0
M5,volume_assisted,fold_2,low_rel_prev_close,96.80039978027344,6.0
M5,volume_assisted,fold_2,close_rel_prev_close,349.1964998245239,17.0
M5,volume_assisted,fold_2,log_ret_1,196.8058032989502,5.0
M5,volume_assisted,fold_2,log_ret_2,369.24530124664307,24.0
M5,volume_assisted,fold_2,log_ret_3,263.60340213775635,16.0
M5,volume_assisted,fold_2,log_ret_6,135.89499950408936,6.0
M5,volume_assisted,fold_2,log_ret_12,135.85999870300293,7.0
M5,volume_assisted,fold_2,log_ret_24,115.99329948425293,6.0
M5,volume_assisted,fold_2,log_ret_48,50.15190029144287,4.0
M5,volume_assisted,fold_2,open_to_close_pct,904.9908971786499,34.0
M5,volume_assisted,fold_2,high_low_range_pct,74.7854995727539,6.0
M5,volume_assisted,fold_2,upper_wick_pct,469.61329555511475,22.0
M5,volume_assisted,fold_2,lower_wick_pct,319.7847013473511,20.0
M5,volume_assisted,fold_2,close_position_in_bar,2921.138589859009,59.0
M5,volume_assisted,fold_2,close_sma_5_ratio,265.51060009002686,13.0
