model_family,track,feature_set,mode,fold,feature,gain_importance,split_importance,gain_share
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_position_in_bar,1968.21225309372,135.0,0.0560829548206753
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_sma_5_ratio,2662.570704936981,89.0,0.0758682567477768
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_ema_5_ratio,2549.0036759376526,69.0,0.0726322365744055
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,rolling_vol_5,461.88178968429565,42.0,0.0131610274769098
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_sma_10_ratio,751.5569109916687,58.0,0.0214151355973217
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_ema_10_ratio,553.0195121765137,40.0,0.0157579388440432
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,rolling_vol_10,621.7451887130737,60.0,0.0177162332333611
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_sma_20_ratio,232.33236169815063,23.0,0.0066201627004492
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_ema_20_ratio,415.1257319450378,37.0,0.0118287433852616
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,rolling_vol_20,449.4839792251587,45.0,0.0128077597626365
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_sma_50_ratio,529.3314189910889,52.0,0.0150829617129853
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_ema_50_ratio,395.2645421028137,37.0,0.0112628114280474
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,rolling_vol_50,503.60596084594727,50.0,0.0143499311647671
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_sma_100_ratio,873.6246423721313,82.0,0.0248933778719098
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_ema_100_ratio,300.9825391769409,28.0,0.0085763057921928
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,rolling_vol_100,678.2275991439819,65.0,0.0193256635513466
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_sma_200_ratio,838.5937523841858,83.0,0.0238951949689053
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,close_ema_200_ratio,641.1281895637512,62.0,0.0182685394997656
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,rolling_vol_200,745.2524704933167,71.0,0.0212354945799045
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,roc_5,1145.884714603424,100.0,0.032651255258569
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,roc_10,695.2798681259155,63.0,0.01981155709733
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,roc_20,519.2659406661987,50.0,0.0147961523176795
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,rsi_14,437.35500860214233,43.0,0.0124621524682999
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,true_range_pct,418.5436186790466,39.0,0.0119261338912827
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,atr_pct_14,466.5481810569763,45.0,0.0132939933275787
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,bb_width_pct_20,601.3905787467957,53.0,0.0171362415839153
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,bb_position_20,550.2241477966309,51.0,0.0156782867160891
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,volume_z20,1378.6434841156006,118.0,0.0392835681781481
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,minute_of_day_sin,3791.8843717575073,382.0,0.0346176199959995
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,minute_of_day_cos,3785.0572102069855,376.0,0.034555292123882
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,day_of_week_sin,688.5917508602142,78.0,0.0062864278618839
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,day_of_week_cos,493.98950242996216,58.0,0.0045098265665752
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,month_sin,1028.361296892166,119.0,0.0093883191321855
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,month_cos,1154.6852958202362,125.0,0.0105415811419234
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,is_after_gap,65.24739909172058,9.0,0.0005956694471771
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,gap_minutes_from_prev_bar,82.44575929641724,9.0,0.0007526801151592
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,open_rel_prev_close,2646.07390499115,309.0,0.0241570606969373
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,high_rel_prev_close,2058.3521361351013,237.0,0.0187915150043598
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,low_rel_prev_close,2133.476620197296,239.0,0.0194773562871348
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,close_rel_prev_close,1809.9553816318512,195.0,0.0165238022756493
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,log_ret_1,263.29865074157715,26.0,0.0024037580641222
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,log_ret_2,2860.1441357135773,276.0,0.0261113929426144
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,log_ret_3,2930.518025636673,263.0,0.0267538641627664
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,log_ret_6,2313.5762469768524,250.0,0.0211215573834848
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,log_ret_12,2418.098122358322,266.0,0.0220757791393417
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,log_ret_24,1852.9349439144128,211.0,0.0169161797874146
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,log_ret_48,2595.826429367065,288.0,0.0236983315147216
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,open_to_close_pct,1649.5421314239502,176.0,0.0150593259378736
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,high_low_range_pct,1701.2596724033356,187.0,0.0155314759311821
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,upper_wick_pct,2644.4634368419647,288.0,0.0241423580929182
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,lower_wick_pct,3251.228745222092,367.0,0.0296817598290854
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,close_position_in_bar,3885.856702327728,348.0,0.0354755307630176
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,close_sma_5_ratio,3726.048047065735,196.0,0.0340165740128761
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,close_ema_5_ratio,3417.9548785686493,170.0,0.0312038689868913
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,rolling_vol_5,2689.2745809555054,309.0,0.0245514568434135
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,close_sma_10_ratio,1817.7073645591736,183.0,0.0165945732098033
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,close_ema_10_ratio,1527.059607744217,159.0,0.0139411342829601
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,rolling_vol_10,2581.444836139679,287.0,0.0235670362323573
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,close_sma_20_ratio,1461.2538604736328,157.0,0.0133403674532717
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,close_ema_20_ratio,1629.5678372383118,166.0,0.0148769726649318
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,rolling_vol_20,2030.788740158081,233.0,0.0185398778039118
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,close_sma_50_ratio,1777.0534794330597,194.0,0.0162234277294351
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,close_ema_50_ratio,1527.8607740402222,159.0,0.0139484484486017
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,rolling_vol_50,2062.357099533081,240.0,0.0188280779075015
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,close_sma_100_ratio,2167.4487257003784,224.0,0.0197875011448021
