track,feature_set,mode,feature,mean_gain_importance,mean_split_importance,mean_gain_share,std_gain_share,rank_by_mean_gain
vanilla_price_only,price_only,vanilla,close_sma_50_ratio,727.1544060707092,72.0,0.0146353321066104,0.002208321467013244,36.0
vanilla_price_only,price_only,vanilla,close_sma_5_ratio,2850.153525829315,93.66666666666667,0.060718650169393505,0.010922858978839838,2.0
vanilla_price_only,price_only,vanilla,day_of_week_cos,222.29006687800089,22.333333333333332,0.004545520124257934,0.001032232294398858,47.0
vanilla_price_only,price_only,vanilla,day_of_week_sin,298.6663455963135,31.666666666666668,0.0063630942380305,0.0014203949862698513,46.0
vanilla_price_only,price_only,vanilla,gap_minutes_from_prev_bar,41.37521664301554,5.333333333333333,0.0008613691090143667,0.0002726040905808649,49.0
vanilla_price_only,price_only,vanilla,high_low_range_pct,740.0346213181814,73.0,0.0153753978767482,0.0007840420104402094,34.0
vanilla_price_only,price_only,vanilla,high_rel_prev_close,842.1296558380127,84.33333333333333,0.017519937993306766,0.0013466970678864458,23.0
vanilla_price_only,price_only,vanilla,is_after_gap,21.94072961807251,2.6666666666666665,0.00043656137434413335,0.00017772112968857391,50.0
vanilla_price_only,price_only,vanilla,log_ret_1,152.74084329605105,14.666666666666666,0.0029789966391193003,0.0009628370578944606,48.0
vanilla_price_only,price_only,vanilla,log_ret_12,839.5241845448812,79.33333333333333,0.01704736404484253,0.004778492046669669,25.0
vanilla_price_only,price_only,vanilla,log_ret_2,1503.0927186012268,124.33333333333333,0.031264789062236904,0.00709083231581831,6.0
vanilla_price_only,price_only,vanilla,log_ret_24,731.3722716967264,72.33333333333333,0.015286409564021131,0.00047388105586088926,35.0
vanilla_price_only,price_only,vanilla,log_ret_3,1245.9462229410808,102.66666666666667,0.025875229135044434,0.001300224025568166,8.0
vanilla_price_only,price_only,vanilla,log_ret_48,970.5491795539856,94.66666666666667,0.019694721442633668,0.0029160614157066,17.0
vanilla_price_only,price_only,vanilla,log_ret_6,806.3435379664103,78.66666666666667,0.016882895066260898,0.0006573838191818792,29.0
vanilla_price_only,price_only,vanilla,low_rel_prev_close,804.0393201510111,80.0,0.0156635648529789,0.005400659893788141,30.0
vanilla_price_only,price_only,vanilla,lower_wick_pct,1237.9913063049314,121.0,0.025282384816090603,0.0020247593464030665,9.0
vanilla_price_only,price_only,vanilla,minute_of_day_cos,2144.3931568463645,177.33333333333334,0.04493112996390356,0.0019216743131720514,4.0
vanilla_price_only,price_only,vanilla,minute_of_day_sin,1872.3940166632335,155.33333333333334,0.03886917299761803,0.0007062678974967627,5.0
vanilla_price_only,price_only,vanilla,month_cos,605.9937105178833,51.666666666666664,0.012274272076585033,0.00210050305063896,43.0
vanilla_price_only,price_only,vanilla,month_sin,422.4463616212209,42.666666666666664,0.008514081601736266,0.001899414498538967,45.0
vanilla_price_only,price_only,vanilla,open_rel_prev_close,840.4337282180786,87.0,0.016891287637052766,0.003178330028126491,24.0
vanilla_price_only,price_only,vanilla,open_to_close_pct,637.822480837504,58.0,0.013676349037482133,0.0027227758666926384,42.0
vanilla_price_only,price_only,vanilla,roc_10,1109.004269997279,107.0,0.022837875608958003,0.0026105779574367174,12.0
vanilla_price_only,price_only,vanilla,roc_20,761.4685618082682,74.66666666666667,0.015325804647817598,0.002666331341595426,33.0
vanilla_price_only,price_only,vanilla,roc_5,1367.4719093640645,119.66666666666667,0.029090507792098565,0.003519526004248148,7.0
vanilla_price_only,price_only,vanilla,rolling_vol_10,946.2086406548818,95.0,0.0198399144644293,0.0013515187202817118,20.0
vanilla_price_only,price_only,vanilla,rolling_vol_100,1037.168261051178,103.33333333333333,0.020842194880265466,0.0034683166610197454,13.0
vanilla_price_only,price_only,vanilla,rolling_vol_20,801.3170027732849,80.0,0.0169562309068865,0.0021822954471120643,31.0
vanilla_price_only,price_only,vanilla,rolling_vol_200,1010.3066228230795,101.0,0.020170403533513,0.004033441640551796,14.0
vanilla_price_only,price_only,vanilla,rolling_vol_5,965.3749356269836,98.33333333333333,0.019817632739081766,0.0032470753768533128,18.0
vanilla_price_only,price_only,vanilla,rolling_vol_50,858.6443068981171,85.66666666666667,0.0177173495629246,0.001105023457783885,22.0
vanilla_price_only,price_only,vanilla,rsi_14,986.0548504193624,98.66666666666667,0.020125739008241234,0.002014295393070347,16.0
vanilla_price_only,price_only,vanilla,true_range_pct,839.1986101468405,75.0,0.017349444933737933,0.00036979933131677087,26.0
vanilla_price_only,price_only,vanilla,upper_wick_pct,1195.9530402819316,109.0,0.025028627411729367,0.002064330721530614,10.0
vanilla_volume_assisted,volume_assisted,vanilla,atr_pct_14,1087.1231966018677,117.33333333333333,0.015615080682090965,0.004365151216576948,27.0
vanilla_volume_assisted,volume_assisted,vanilla,bb_position_20,992.7949314117432,104.66666666666667,0.014919714907163867,0.003504507397793745,34.0
vanilla_volume_assisted,volume_assisted,vanilla,bb_width_pct_20,1256.1726301511128,126.66666666666667,0.0197970358580405,0.002322395503008292,18.0
vanilla_volume_assisted,volume_assisted,vanilla,close_ema_100_ratio,891.7143131891886,89.66666666666667,0.013542325654597535,0.004346841948418956,39.0
