timeframe,feature,reference_years,comparison_year,year_rows,is_partial_final_year,used_in_drift_score,psi
M15,atr_pct_14,2016-2018,2021,23314,False,True,0.10219403056461426
M15,atr_pct_14,2016-2018,2022,23290,False,True,0.2772086378118056
M15,atr_pct_14,2016-2018,2023,22985,False,True,0.011355337317206168
M15,atr_pct_14,2016-2018,2024,23382,False,True,0.15362845229637506
M15,atr_pct_14,2016-2018,2025,23327,False,True,0.924015675767287
M15,atr_pct_14,2016-2018,2026,5708,True,False,7.16361870854783
M15,bb_width_pct_20,2016-2018,2019,22310,False,True,0.007651224355061749
M15,bb_width_pct_20,2016-2018,2020,23327,False,True,0.334200550184266
M15,bb_width_pct_20,2016-2018,2021,23314,False,True,0.05455849593197205
M15,bb_width_pct_20,2016-2018,2022,23290,False,True,0.14975258972607752
M15,bb_width_pct_20,2016-2018,2023,22985,False,True,0.006967881081404628
M15,bb_width_pct_20,2016-2018,2024,23382,False,True,0.09002368684652906
M15,bb_width_pct_20,2016-2018,2025,23327,False,True,0.5363522344232499
M15,bb_width_pct_20,2016-2018,2026,5708,True,False,2.5540146137098176
M15,bb_position_20,2016-2018,2019,22310,False,True,0.001273249171832246
M15,bb_position_20,2016-2018,2020,23327,False,True,0.006126128951104226
M15,bb_position_20,2016-2018,2021,23314,False,True,0.0005918161459059706
M15,bb_position_20,2016-2018,2022,23290,False,True,0.0020736206598077145
M15,bb_position_20,2016-2018,2023,22985,False,True,0.0007297932009733494
M15,bb_position_20,2016-2018,2024,23382,False,True,0.0072951644132866035
M15,bb_position_20,2016-2018,2025,23327,False,True,0.012007456719286004
M15,bb_position_20,2016-2018,2026,5708,True,False,0.01181533001041328
M15,minute_of_day_sin,2016-2018,2019,22310,False,True,0.0011396031401717539
M15,minute_of_day_sin,2016-2018,2020,23327,False,True,4.1229915121842136e-05
M15,minute_of_day_sin,2016-2018,2021,23314,False,True,4.372795016703712e-05
M15,minute_of_day_sin,2016-2018,2022,23290,False,True,2.3790964778136895e-05
M15,minute_of_day_sin,2016-2018,2023,22985,False,True,0.00023048293140464377
M15,minute_of_day_sin,2016-2018,2024,23382,False,True,5.295878770437524e-05
M15,minute_of_day_sin,2016-2018,2025,23327,False,True,5.01764374672218e-05
M15,minute_of_day_sin,2016-2018,2026,5708,True,False,0.0037771554024281857
M15,day_of_week_sin,2016-2018,2019,22310,False,True,0.0001725758185390424
M15,day_of_week_sin,2016-2018,2020,23327,False,True,0.00021506205651930063
M15,day_of_week_sin,2016-2018,2021,23314,False,True,0.00017492840671118177
M15,day_of_week_sin,2016-2018,2022,23290,False,True,1.3680038823793077e-05
M15,day_of_week_sin,2016-2018,2023,22985,False,True,8.130990828298118e-05
M15,day_of_week_sin,2016-2018,2024,23382,False,True,0.0003535443584542845
M15,day_of_week_sin,2016-2018,2025,23327,False,True,0.0003329421002836398
M15,day_of_week_sin,2016-2018,2026,5708,True,False,0.0021883930428959098
M15,is_after_gap,2016-2018,2019,22310,False,True,
M15,is_after_gap,2016-2018,2020,23327,False,True,
M15,is_after_gap,2016-2018,2021,23314,False,True,
M15,is_after_gap,2016-2018,2022,23290,False,True,
M15,is_after_gap,2016-2018,2023,22985,False,True,
M15,is_after_gap,2016-2018,2024,23382,False,True,
M15,is_after_gap,2016-2018,2025,23327,False,True,
M15,is_after_gap,2016-2018,2026,5708,True,False,
