rows,up_rate,mean_abs_return_bps,std_return_bps,timeframe,month
5979,0.4900485030941629,3.075830912038858,4.468615115471934,M5,2021-07-01 00:00:00+00:00
6060,0.4993399339933993,3.1122962214789944,5.399480676159244,M5,2021-08-01 00:00:00+00:00
6000,0.4905,3.0631812189307874,4.8333808920224435,M5,2021-09-01 00:00:00+00:00
5768,0.49410540915395285,3.2313138893929527,4.872083414943708,M5,2021-10-01 00:00:00+00:00
5945,0.487636669470143,3.4332306109470534,5.264944811812927,M5,2021-11-01 00:00:00+00:00
6030,0.5071310116086235,2.729364341488009,4.026720991321121,M5,2021-12-01 00:00:00+00:00
5737,0.49642670385218757,2.994092717427657,4.5158748211316695,M5,2022-01-01 00:00:00+00:00
5467,0.5072251691970002,3.6282928263166943,5.841203758989831,M5,2022-02-01 00:00:00+00:00
6335,0.5000789265982636,5.3255155242454855,8.034411212332845,M5,2022-03-01 00:00:00+00:00
5473,0.5019185090443998,3.8475850747296114,5.582289567591128,M5,2022-04-01 00:00:00+00:00
6038,0.4935409075852931,3.945452703524015,5.710679475485738,M5,2022-05-01 00:00:00+00:00
6019,0.4924406047516199,3.425600081436854,5.152021408712982,M5,2022-06-01 00:00:00+00:00
5740,0.4951219512195122,3.688721343765646,5.598832476846538,M5,2022-07-01 00:00:00+00:00
6313,0.48788214794867735,3.2548237572955125,4.759652806892625,M5,2022-08-01 00:00:00+00:00
5996,0.4883255503669113,4.043618312039802,6.182397944557169,M5,2022-09-01 00:00:00+00:00
5779,0.4815712060910192,4.086744519785758,6.055529027947006,M5,2022-10-01 00:00:00+00:00
5932,0.4986513823331086,3.6064898260264555,5.611536614339869,M5,2022-11-01 00:00:00+00:00
5742,0.5038314176245211,3.2567270587165,4.7974012210414,M5,2022-12-01 00:00:00+00:00
5730,0.5034904013961605,3.5148791537616484,5.019936103569902,M5,2023-01-01 00:00:00+00:00
5457,0.4927615906175554,3.6401082716654782,5.393340649573148,M5,2023-02-01 00:00:00+00:00
6302,0.5057124722310378,4.061928756087328,6.104977161020969,M5,2023-03-01 00:00:00+00:00
5233,0.504299636919549,3.5258496482254804,5.594362975514744,M5,2023-04-01 00:00:00+00:00
6285,0.4913285600636436,3.236630606738793,4.9945193582032035,M5,2023-05-01 00:00:00+00:00
5970,0.4847571189279732,2.839227121183833,4.326976246261722,M5,2023-06-01 00:00:00+00:00
5716,0.5022743177046886,2.6107628371943314,3.964285207101552,M5,2023-07-01 00:00:00+00:00
6227,0.4851453348321824,2.3390891303937518,3.4447320495284948,M5,2023-08-01 00:00:00+00:00
5633,0.49156754837564354,2.122556778693096,3.2394809215375804,M5,2023-09-01 00:00:00+00:00
6043,0.5075293728280655,3.350421324969833,4.990960387272047,M5,2023-10-01 00:00:00+00:00
5925,0.4936708860759494,2.6908999223300936,4.017566374168401,M5,2023-11-01 00:00:00+00:00
5482,0.5100328347318497,3.3325492797935836,5.5248111629583425,M5,2023-12-01 00:00:00+00:00
6027,0.5040650406504065,2.9019604747373733,4.359973513969691,M5,2024-01-01 00:00:00+00:00
5720,0.4993006993006993,2.3218130120842666,3.6150118628649293,M5,2024-02-01 00:00:00+00:00
5494,0.5131052056789225,3.29525501994773,5.15992482386089,M5,2024-03-01 00:00:00+00:00
6049,0.5063646883782443,4.8991110667499065,7.317397134798282,M5,2024-04-01 00:00:00+00:00
6262,0.5006387735547748,3.819775174939697,5.733675381249094,M5,2024-05-01 00:00:00+00:00
5488,0.5014577259475219,3.422743618384057,5.116376209158465,M5,2024-06-01 00:00:00+00:00
6290,0.5114467408585056,3.5209720260335935,5.134020251960364,M5,2024-07-01 00:00:00+00:00
6027,0.5140202422432387,3.9365653167456065,5.974102610702287,M5,2024-08-01 00:00:00+00:00
5759,0.5169300225733634,3.255297491716234,4.8193032357676335,M5,2024-09-01 00:00:00+00:00
6301,0.5157911442628155,3.1830135731492364,4.51538024835648,M5,2024-10-01 00:00:00+00:00
5691,0.5020207344930592,4.122854644893696,5.9135888226166236,M5,2024-11-01 00:00:00+00:00
5721,0.49833945114490474,3.3159028566662805,4.6266730969900935,M5,2024-12-01 00:00:00+00:00
6015,0.5075644222776392,3.0328604434612525,4.333066882002278,M5,2025-01-01 00:00:00+00:00
5465,0.5143641354071363,3.7359623497691365,5.374681818739934,M5,2025-02-01 00:00:00+00:00
5792,0.5113950276243094,3.3666766358978744,4.714638852201743,M5,2025-03-01 00:00:00+00:00
5760,0.5100694444444445,6.773024063226555,9.627059609912697,M5,2025-04-01 00:00:00+00:00
5995,0.5027522935779817,5.521201970467589,7.7062078558228215,M5,2025-05-01 00:00:00+00:00
5767,0.5004335009537021,4.215929298247188,5.852717795018334,M5,2025-06-01 00:00:00+00:00
6273,0.4994420532440619,3.1912325478989203,4.585446969650354,M5,2025-07-01 00:00:00+00:00
5770,0.49376083188908143,3.045264747222281,4.5568478464961055,M5,2025-08-01 00:00:00+00:00
6019,0.5233427479647782,3.8346585025820166,5.5013684466558015,M5,2025-09-01 00:00:00+00:00
6302,0.5155506188511584,7.135569067612236,10.491803911801519,M5,2025-10-01 00:00:00+00:00
5441,0.5142437052012497,5.560142432916993,7.80792871148538,M5,2025-11-01 00:00:00+00:00
5984,0.50701871657754,4.885681784455072,7.063803149955188,M5,2025-12-01 00:00:00+00:00
5742,0.5238592824799722,7.794156704271418,14.197611213613744,M5,2026-01-01 00:00:00+00:00
5461,0.5097967405237136,9.551891411852887,15.628219546816155,M5,2026-02-01 00:00:00+00:00
6070,0.4924217462932455,9.847487541015159,15.534221701660684,M5,2026-03-01 00:00:00+00:00
1609,0.4959602237414543,6.521774014369719,9.186774460381724,M15,2016-01-01 00:00:00+00:00
1895,0.5113456464379947,8.851205341200234,12.895683661863314,M15,2016-02-01 00:00:00+00:00
2006,0.49900299102691925,7.645264704231452,11.700434564720485,M15,2016-03-01 00:00:00+00:00
1902,0.5078864353312302,6.7089665082167445,9.941061634882704,M15,2016-04-01 00:00:00+00:00
1988,0.4939637826961771,6.412452903799055,9.248885169929633,M15,2016-05-01 00:00:00+00:00
1998,0.498998998998999,7.1418929151704695,12.61977770155798,M15,2016-06-01 00:00:00+00:00
1893,0.5013206550449023,6.367366079381545,9.59276760120569,M15,2016-07-01 00:00:00+00:00
2091,0.4916307986609278,4.734502968386651,7.325363187536793,M15,2016-08-01 00:00:00+00:00
1976,0.49190283400809715,4.360918366803555,6.993225085356375,M15,2016-09-01 00:00:00+00:00
1910,0.47591623036649217,4.945989653570166,7.504879934637468,M15,2016-10-01 00:00:00+00:00
1951,0.4823167606355715,8.283871145922085,13.235749887228582,M15,2016-11-01 00:00:00+00:00
1898,0.47997892518440466,5.824154315461065,8.714502844041645,M15,2016-12-01 00:00:00+00:00
1889,0.4880889359449444,5.986706546465534,8.515337607983266,M15,2017-01-01 00:00:00+00:00
1797,0.48914858096828046,4.90265048893802,7.113660169552337,M15,2017-02-01 00:00:00+00:00
2077,0.5002407318247473,4.6009611354052335,6.681355796314977,M15,2017-03-01 00:00:00+00:00
1734,0.49192618223760093,4.471735258347922,6.619656086621124,M15,2017-04-01 00:00:00+00:00
2074,0.503857280617165,4.310554516120515,6.183805392729052,M15,2017-05-01 00:00:00+00:00
1993,0.4907175112895133,4.157326342255427,6.449020907336744,M15,2017-06-01 00:00:00+00:00
1896,0.5021097046413502,4.026600297642192,6.0661527761598775,M15,2017-07-01 00:00:00+00:00
2089,0.507898516036381,4.324463880386992,6.690689350514511,M15,2017-08-01 00:00:00+00:00
1886,0.4883351007423118,4.726226164973678,6.8087917175273285,M15,2017-09-01 00:00:00+00:00
2002,0.500999000999001,4.041505241968379,6.023906896113258,M15,2017-10-01 00:00:00+00:00
1964,0.4989816700610998,3.7466184853492384,5.762804227682818,M15,2017-11-01 00:00:00+00:00
1808,0.5094026548672567,3.437767966158179,5.384737517586686,M15,2017-12-01 00:00:00+00:00
1985,0.5188916876574308,4.685272797482275,6.823419189464304,M15,2018-01-01 00:00:00+00:00
1804,0.46674057649667405,5.118846120044283,7.3967234390000485,M15,2018-02-01 00:00:00+00:00
1906,0.49055613850996854,4.515256847883784,6.59813092414645,M15,2018-03-01 00:00:00+00:00
1906,0.49737670514165794,4.569122914382645,6.549032603123387,M15,2018-04-01 00:00:00+00:00
2067,0.4852443154329947,4.174764577225031,5.909892431661607,M15,2018-05-01 00:00:00+00:00
1892,0.4693446088794926,3.600989212039301,5.229557931446159,M15,2018-06-01 00:00:00+00:00
1982,0.47426841574167505,4.066761517241178,5.796043731043012,M15,2018-07-01 00:00:00+00:00
2067,0.46879535558780844,4.605295484709231,6.522158354563537,M15,2018-08-01 00:00:00+00:00
1790,0.4910614525139665,4.227044747592693,6.387507301768121,M15,2018-09-01 00:00:00+00:00
2065,0.4953995157384988,4.621400753355665,6.628749218009097,M15,2018-10-01 00:00:00+00:00
1863,0.4954374664519592,4.420497541177772,6.503905981344614,M15,2018-11-01 00:00:00+00:00
1705,0.5266862170087977,4.138879670353731,5.877445776713095,M15,2018-12-01 00:00:00+00:00
1871,0.5034740780331374,4.058271195235934,5.86521098882396,M15,2019-01-01 00:00:00+00:00
1697,0.4890984089569829,3.6744404804589395,5.268789297015458,M15,2019-02-01 00:00:00+00:00
1749,0.4997141223556318,4.14145442134725,6.199102883689859,M15,2019-03-01 00:00:00+00:00
1753,0.47746719908727897,3.6805789657729324,5.324127402893312,M15,2019-04-01 00:00:00+00:00
1929,0.4997407983411094,3.6501857868157543,5.581038122657134,M15,2019-05-01 00:00:00+00:00
1773,0.526790750141004,6.186855548353172,9.404180325795666,M15,2019-06-01 00:00:00+00:00
2047,0.49096238397655106,5.6957472141916865,8.901529595676024,M15,2019-07-01 00:00:00+00:00
1968,0.510670731707317,7.2837502700553145,11.352519998481673,M15,2019-08-01 00:00:00+00:00
1889,0.49867654843832715,6.3166199378053145,9.666631564356791,M15,2019-09-01 00:00:00+00:00
2026,0.5,5.329685907190623,8.38596563670682,M15,2019-10-01 00:00:00+00:00
1814,0.4928335170893054,4.51386798673914,6.710306354502686,M15,2019-11-01 00:00:00+00:00
1794,0.5094760312151616,3.5873358702963136,5.653765825559386,M15,2019-12-01 00:00:00+00:00
1958,0.5219611848825332,5.55604609228,8.453258836759579,M15,2020-01-01 00:00:00+00:00
1790,0.5044692737430168,6.729490822248022,11.297580169329358,M15,2020-02-01 00:00:00+00:00
1987,0.505787619526925,16.217430586982605,24.85407150731607,M15,2020-03-01 00:00:00+00:00
1903,0.5112979506043089,9.616765574682352,13.270630845901012,M15,2020-04-01 00:00:00+00:00
1891,0.5277630883130618,7.023966497563544,9.77065488479294,M15,2020-05-01 00:00:00+00:00
1997,0.5022533800701051,6.567985698899328,9.578164823750033,M15,2020-06-01 00:00:00+00:00
2058,0.5228377065111759,6.572177251825434,10.709192644997678,M15,2020-07-01 00:00:00+00:00
1918,0.5145985401459854,10.992328149574288,16.171553605876266,M15,2020-08-01 00:00:00+00:00
1981,0.5148914689550732,7.80941190608033,11.095981321145361,M15,2020-09-01 00:00:00+00:00
1993,0.5062719518314099,6.21416634916192,8.67277446618972,M15,2020-10-01 00:00:00+00:00
1877,0.49920085242408097,7.206843752898876,11.966928121853854,M15,2020-11-01 00:00:00+00:00
1974,0.5177304964539007,6.769000744062406,9.924381343529364,M15,2020-12-01 00:00:00+00:00
1805,0.49418282548476455,7.809650261139179,11.894463916856234,M15,2021-01-01 00:00:00+00:00
1802,0.4894561598224195,7.599740660377737,11.1732257126233,M15,2021-02-01 00:00:00+00:00
2095,0.49594272076372314,6.986358304603187,10.116932102152637,M15,2021-03-01 00:00:00+00:00
1897,0.5076436478650501,5.552845762719992,7.944911314708736,M15,2021-04-01 00:00:00+00:00
1896,0.5226793248945147,5.734797686749331,9.155054416117224,M15,2021-05-01 00:00:00+00:00
1998,0.486986986986987,5.843140154938581,9.247813512417816,M15,2021-06-01 00:00:00+00:00
1979,0.49368367862556845,5.348618590934109,7.909917228648878,M15,2021-07-01 00:00:00+00:00
1996,0.4954909819639279,5.315880739313958,8.636091240172526,M15,2021-08-01 00:00:00+00:00
1984,0.49243951612903225,5.345010153245161,8.033521718865673,M15,2021-09-01 00:00:00+00:00
1905,0.48976377952755906,5.53740721400872,8.560238187130402,M15,2021-10-01 00:00:00+00:00
1965,0.500763358778626,5.876327166374285,9.143509979068403,M15,2021-11-01 00:00:00+00:00
1992,0.5140562248995983,4.70742962679172,6.719917074918131,M15,2021-12-01 00:00:00+00:00
1897,0.4944649446494465,5.040835525700437,7.463490245197698,M15,2022-01-01 00:00:00+00:00
1807,0.51300498063088,6.2193261207646415,10.194132813815951,M15,2022-02-01 00:00:00+00:00
2095,0.5059665871121718,8.886031326274237,12.999431807427765,M15,2022-03-01 00:00:00+00:00
1809,0.49087893864013266,6.741253387321085,9.444016328338735,M15,2022-04-01 00:00:00+00:00
1995,0.4957393483709273,6.660600465055139,9.399648477202822,M15,2022-05-01 00:00:00+00:00
1991,0.4681064791562029,5.892223839590446,8.864417006089848,M15,2022-06-01 00:00:00+00:00
1897,0.49973642593568796,6.349132195095168,9.658802677489726,M15,2022-07-01 00:00:00+00:00
2082,0.4851104707012488,5.564952103884157,8.138781337613686,M15,2022-08-01 00:00:00+00:00
1984,0.49143145161290325,7.2227910553295915,11.055594596458922,M15,2022-09-01 00:00:00+00:00
1901,0.48237769594950025,6.989796616210904,10.24862728500833,M15,2022-10-01 00:00:00+00:00
1942,0.5077239958805355,6.374333148898206,9.700577911548942,M15,2022-11-01 00:00:00+00:00
1890,0.5005291005291005,5.826451335138006,8.763118938096508,M15,2022-12-01 00:00:00+00:00
1890,0.5015873015873016,6.2404091525080885,8.846710675612824,M15,2023-01-01 00:00:00+00:00
1800,0.47833333333333333,6.006239642812682,9.26020044932551,M15,2023-02-01 00:00:00+00:00
2080,0.5149038461538461,7.245362342320487,10.804253461390815,M15,2023-03-01 00:00:00+00:00
1724,0.4965197215777262,6.191788981079434,9.90070405250111,M15,2023-04-01 00:00:00+00:00
2074,0.48601735776277727,5.661885117607231,9.126439499471758,M15,2023-05-01 00:00:00+00:00
1961,0.48087710351861296,4.93536475815124,7.51416737402463,M15,2023-06-01 00:00:00+00:00
1870,0.5010695187165776,4.610488407839121,7.144425014542336,M15,2023-07-01 00:00:00+00:00
2022,0.4886251236399604,3.9482750575324403,5.892244597869874,M15,2023-08-01 00:00:00+00:00
1823,0.47613823368074604,3.7538205004933003,5.648482902440812,M15,2023-09-01 00:00:00+00:00
1981,0.5022715800100959,5.683236851592817,8.15123890117802,M15,2023-10-01 00:00:00+00:00
1950,0.48615384615384616,4.597492954461126,7.042513188665372,M15,2023-11-01 00:00:00+00:00
1810,0.5270718232044199,5.7311907489581015,10.69809001728328,M15,2023-12-01 00:00:00+00:00
1992,0.49096385542168675,5.128342635155172,7.591908782725519,M15,2024-01-01 00:00:00+00:00
1883,0.5114179500796601,4.083404500816609,6.5101831252974165,M15,2024-02-01 00:00:00+00:00
1807,0.4991698948533481,5.816883971034477,8.96828098040447,M15,2024-03-01 00:00:00+00:00
2001,0.5132433783108445,8.50145049989263,12.707861228532979,M15,2024-04-01 00:00:00+00:00
2066,0.5116166505324298,6.454729283880649,9.253625252049979,M15,2024-05-01 00:00:00+00:00
1813,0.5102040816326531,5.980584300042657,8.9859539210918,M15,2024-06-01 00:00:00+00:00
2080,0.5197115384615385,6.048957437357732,9.039593084866857,M15,2024-07-01 00:00:00+00:00
1995,0.5077694235588972,6.854164499149181,10.682414880952578,M15,2024-08-01 00:00:00+00:00
1899,0.5260663507109005,5.601463083687792,8.43828370671183,M15,2024-09-01 00:00:00+00:00
2079,0.5238095238095238,5.553234182743578,7.794403924417208,M15,2024-10-01 00:00:00+00:00
1882,0.5143464399574921,7.1380042169212805,10.465034403599125,M15,2024-11-01 00:00:00+00:00
1885,0.49389920424403183,5.773350953638441,8.264053242661078,M15,2024-12-01 00:00:00+00:00
1987,0.5244086562657272,5.080402783088605,7.111874544374825,M15,2025-01-01 00:00:00+00:00
